number_box,number_zakaza,ves_box
1,1,5.88
2,1,5.69
3,1,3.69
4,1,5.56
5,1,3.45
6,1,25.71
7,1,4.92
8,1,5.56
9,1,5.75
10,1,3.6
11,1,5.32
12,1,2.96
13,1,1.73
14,1,0.89
15,1,3.06
16,1,6.58
17,1,19.53
18,1,5.33
19,1,5.65
20,1,6.73
21,1,5.66
22,1,12.44
23,1,9.4
24,1,4.85
25,1,6.02
26,1,3.07
27,1,7.04
28,1,5.77
29,1,14.35
30,1,22.82
31,1,4.56
32,1,2.7
33,1,16.81
34,1,16.26
35,1,3.18
36,1,5.17
37,1,4.3
38,1,18.3
39,1,2.14
40,1,2.75
41,1,13.46
42,1,6.43
43,1,16.56
44,1,15.35
45,1,12.63
46,1,0.41
47,1,4.8
48,1,10.12
49,1,2.14
50,1,2.26
51,1,21.51
52,1,18.7
53,1,2.44
54,1,3.56
55,1,1.95
56,1,4.74
57,1,22.43
58,1,11.35
59,1,14.86
60,1,19.3
61,1,4.83
62,1,16.12
63,1,15.58
64,1,12.78
65,1,14.63
66,1,3.41
67,1,4.41
68,1,6.75
69,1,4.05
70,1,6.93
71,1,3.97
72,1,5.5
73,1,2.73
74,1,11.19
75,1,3.62
76,1,19.16
77,1,2.13
78,1,4.92
79,1,21.9
80,1,2.62
81,1,5.55
82,1,18.88
83,1,12.18
84,1,12.55
85,1,5.91
86,1,2.89
87,1,5.47
88,1,5.66
89,1,0.88
90,1,1.89
91,1,2
92,1,10.29
93,1,3.23
94,1,12.58
95,1,1.66
96,1,11.11
97,1,2.11
98,1,3.26
99,1,5.55
100,1,1.98
101,1,3.94
102,1,4.81
103,1,2.2
104,1,15.27
105,1,3.76
106,1,9.56
107,1,4.18
108,1,1.47
109,1,5.1
110,1,3.27
111,1,17.32
112,1,19.83
113,1,4.77
114,1,15.28
115,1,1.18
116,1,4.18
117,1,4.9
118,1,5.87
119,1,6.04
120,1,18.69
121,1,7.11
122,1,5.06
123,1,4.28
124,1,4.9
125,1,19.31
126,1,6.26
127,1,5.59
128,1,4.82
129,1,15.76
130,1,12.26
131,1,20.06
132,1,2.91
133,1,3.42
134,1,2.7
135,1,3.64
136,1,13.31
137,1,5.27
138,1,6.34
139,1,5.58
140,1,6.02
141,1,13.4
142,1,1
143,1,6.63
144,1,4.16
145,1,2.22
146,1,8.4
147,2,3.14
148,2,6.15
149,2,5.61
150,2,4.46
151,2,3.07
152,2,2.93
153,2,2.84
154,2,9.67
155,2,2.22
156,2,16.55
157,2,3.62
158,2,6.57
159,2,2.26
160,2,5.73
161,2,5.1
162,2,3.64
163,2,12.55
164,2,2.55
165,2,4.35
166,2,18.69
167,2,15.28
168,2,3.18
169,2,3.63
170,2,25.71
171,2,5.58
172,2,5.59
173,2,11.2
174,2,12.78
175,2,1.18
176,2,11.84
177,2,4.13
178,2,16.12
179,2,2.89
180,2,22.43
181,2,1.98
182,2,5.85
183,2,6.34
184,2,6.53
185,2,3.94
186,2,4.77
187,2,6.8
188,2,6.04
189,2,19.31
190,2,5.32
191,2,18.7
192,2,20.29
193,2,5.75
194,2,4.08
195,2,6.02
196,2,2.75
197,2,3.99
198,2,4.81
199,2,1.47
200,2,18.3
201,2,3.26
202,2,4.01
203,2,2.85
204,2,4.92
205,2,3.42
